con,joint,cont,pow,sub,value
nh,ank,exo,net,12,NaN
nh,ank,exo,net,13,NaN
nh,ank,exo,net,14,NaN
nh,kne,exo,net,1,NaN
nh,kne,exo,net,2,NaN
nh,kne,exo,net,3,NaN
nh,kne,exo,net,4,NaN
nh,kne,exo,net,5,NaN
nh,kne,exo,net,6,NaN
nh,kne,exo,net,7,NaN
nh,kne,exo,net,8,NaN
nh,kne,exo,net,9,NaN
nh,kne,exo,net,10,NaN
nh,kne,exo,net,11,NaN
nh,kne,exo,net,12,NaN
nh,kne,exo,net,13,NaN
nh,kne,exo,net,14,NaN
nh,hip,exo,net,1,NaN
nh,hip,exo,net,2,NaN
nh,hip,exo,net,3,NaN
nh,hip,exo,net,4,NaN
nh,hip,exo,net,5,NaN
nh,hip,exo,net,6,NaN
nh,hip,exo,net,7,NaN
nh,hip,exo,net,8,NaN
nh,hip,exo,net,9,NaN
nh,hip,exo,net,10,NaN
nh,hip,exo,net,11,NaN
nh,hip,exo,net,12,NaN
nh,hip,exo,net,13,NaN
nh,hip,exo,net,14,NaN
nh,ank,bio,net,1,0.313879517071387
nh,ank,bio,net,2,0.280831649461213
nh,ank,bio,net,3,0.384184015971242
nh,ank,bio,net,4,0.312321231220708
nh,ank,bio,net,5,0.385189716430271
nh,ank,bio,net,6,0.321446279830792
nh,ank,bio,net,7,0.235906927024617
nh,ank,bio,net,8,0.459150475614211
nh,ank,bio,net,9,0.415525512660251
nh,ank,bio,net,10,0.384890786426909
nh,ank,bio,net,11,0.305308624663774
nh,ank,bio,net,12,0.347440227866173
nh,ank,bio,net,13,0.283399893957026
nh,ank,bio,net,14,0.400133094366859
nh,kne,bio,net,1,0.19207749011762
nh,kne,bio,net,2,0.159196442540954
nh,kne,bio,net,3,0.104896058413115
nh,kne,bio,net,4,0.155910637568344
nh,kne,bio,net,5,0.123820587992668
nh,kne,bio,net,6,0.179296688341043
nh,kne,bio,net,7,0.0824348661391174
nh,kne,bio,net,8,0.189354101743768
nh,kne,bio,net,9,0.210710588349577
nh,kne,bio,net,10,0.0757112656446065
nh,kne,bio,net,11,0.117198267622906
nh,kne,bio,net,12,0.236557837685241
nh,kne,bio,net,13,0.173091901137548
nh,kne,bio,net,14,0.147796833997264
nh,hip,bio,net,1,-0.0199629882528611
nh,hip,bio,net,2,-0.0238608377711738
nh,hip,bio,net,3,-0.0149420565276435
nh,hip,bio,net,4,-0.00298414365247343
nh,hip,bio,net,5,-0.0222924028468483
nh,hip,bio,net,6,-0.0882622605080114
nh,hip,bio,net,7,-0.0222034100374645
nh,hip,bio,net,8,-0.113637710154495
nh,hip,bio,net,9,-0.10294724810485
nh,hip,bio,net,10,-0.0374935595866512
nh,hip,bio,net,11,-0.0722473041318795
nh,hip,bio,net,12,-0.0595759604920578
nh,hip,bio,net,13,-0.0451381676693392
nh,hip,bio,net,14,-0.0851592944031034
dg,ank,net,neg,1,-0.808616331129363
dg,ank,net,neg,2,-0.879965224686791
dg,ank,net,neg,3,-0.832081381118659
dg,ank,net,neg,4,-0.797257929163821
dg,ank,net,neg,5,-0.593284996993401
dg,ank,net,neg,6,-0.521738547612639
dg,ank,net,neg,7,-0.729243671192842
dg,ank,net,neg,8,-0.76888353859677
dg,ank,net,neg,9,-0.915883588440278
dg,ank,net,neg,10,-0.720998495817184
dg,ank,net,neg,11,-0.718706232659957
dg,ank,net,neg,12,-0.733866924748701
dg,ank,net,neg,13,-0.594521359485738
dg,ank,net,neg,14,-0.736760824042208
dg,ank,net,pos,1,1.11354852354888
dg,ank,net,pos,2,1.1476335104774
dg,ank,net,pos,3,1.26710832480228
dg,ank,net,pos,4,1.11768360348309
dg,ank,net,pos,5,0.827936285558869
dg,ank,net,pos,6,0.90459227298989
dg,ank,net,pos,7,1.01923825547976
dg,ank,net,pos,8,1.15774639213786
dg,ank,net,pos,9,1.32926664545256
dg,ank,net,pos,10,0.998562805792865
dg,ank,net,pos,11,0.947267048499163
dg,ank,net,pos,12,0.986001240856507
dg,ank,net,pos,13,0.786086970392396
dg,ank,net,pos,14,1.09973432211315
dg,kne,net,neg,1,-0.365040006736914
dg,kne,net,neg,2,-0.170779971515431
dg,kne,net,neg,3,-0.278627862420046
dg,kne,net,neg,4,-0.22793000651633
dg,kne,net,neg,5,-0.24501970782876
dg,kne,net,neg,6,-0.555147243334967
dg,kne,net,neg,7,-0.343700668391059
dg,kne,net,neg,8,-0.214442202821374
dg,kne,net,neg,9,-0.224858772338313
dg,kne,net,neg,10,-0.30054010867196
dg,kne,net,neg,11,-0.219539468450581
dg,kne,net,neg,12,-0.288094154832994
dg,kne,net,neg,13,-0.255854991428992
dg,kne,net,neg,14,-0.192949843538158
dg,kne,net,pos,1,0.594042833555828
dg,kne,net,pos,2,0.259112283149186
dg,kne,net,pos,3,0.39861060159676
dg,kne,net,pos,4,0.392661145504783
dg,kne,net,pos,5,0.295112121850252
dg,kne,net,pos,6,0.66750924727496
dg,kne,net,pos,7,0.407238778822562
dg,kne,net,pos,8,0.287052586126853
dg,kne,net,pos,9,0.407778558704783
dg,kne,net,pos,10,0.410715052529293
dg,kne,net,pos,11,0.372683884028126
dg,kne,net,pos,12,0.602349080145359
dg,kne,net,pos,13,0.359862826545449
dg,kne,net,pos,14,0.32266613709576
dg,hip,net,neg,1,-0.089266373070352
dg,hip,net,neg,2,-0.092809129780268
dg,hip,net,neg,3,-0.173086292815931
dg,hip,net,neg,4,-0.118454233003671
dg,hip,net,neg,5,-0.0379748671000604
dg,hip,net,neg,6,-0.0745927542448044
dg,hip,net,neg,7,-0.110242139958941
dg,hip,net,neg,8,-0.192384869408082
dg,hip,net,neg,9,-0.142667580943774
dg,hip,net,neg,10,-0.0772774905267665
dg,hip,net,neg,11,-0.136602573918507
dg,hip,net,neg,12,-0.220483181669432
dg,hip,net,neg,13,-0.128239033962874
dg,hip,net,neg,14,-0.137072544216233
dg,hip,net,pos,1,0.062667702719795
dg,hip,net,pos,2,0.059047703850357
dg,hip,net,pos,3,0.12205023956344
dg,hip,net,pos,4,0.103479778174968
dg,hip,net,pos,5,0.0414078475167865
dg,hip,net,pos,6,0.102156105670421
dg,hip,net,pos,7,0.170593570041306
dg,hip,net,pos,8,0.117926852448898
dg,hip,net,pos,9,0.0844029124059221
dg,hip,net,pos,10,0.0765751302242279
dg,hip,net,pos,11,0.0931608905906186
dg,hip,net,pos,12,0.0595538624261013
dg,hip,net,pos,13,0.0568964801838293
dg,hip,net,pos,14,0.106343126472305
dg,ank,exo,neg,1,-0.312397283135038
dg,ank,exo,neg,2,-0.578122625456137
dg,ank,exo,neg,3,-0.276775518150041
dg,ank,exo,neg,4,-0.392630343489787
dg,ank,exo,neg,5,-0.321376852033769
dg,ank,exo,neg,6,-0.328403113519444
dg,ank,exo,neg,7,-0.14585610665381
dg,ank,exo,neg,8,-0.452205824063105
dg,ank,exo,neg,9,-0.343716200221987
dg,ank,exo,neg,10,-0.373750254950103
dg,ank,exo,neg,11,-0.349300739958006
dg,ank,exo,neg,12,-0.263813019017963
dg,ank,exo,neg,13,-0.351152018808267
dg,ank,exo,neg,14,-0.346091000911068
dg,ank,exo,pos,1,0.279649480274229
dg,ank,exo,pos,2,0.530581176280975
dg,ank,exo,pos,3,0.250357281755317
dg,ank,exo,pos,4,0.344565309584141
dg,ank,exo,pos,5,0.277982255553498
dg,ank,exo,pos,6,0.275602376855472
dg,ank,exo,pos,7,0.112738617969786
dg,ank,exo,pos,8,0.418050151537446
dg,ank,exo,pos,9,0.312275057329851
dg,ank,exo,pos,10,0.336982514270965
dg,ank,exo,pos,11,0.307972622049205
dg,ank,exo,pos,12,0.190170746296644
dg,ank,exo,pos,13,0.285580073647639
dg,ank,exo,pos,14,0.260561693240615
dg,kne,exo,neg,1,-0.0776193377872308
dg,kne,exo,neg,2,-0.0251000294263256
dg,kne,exo,neg,3,-0.0429977740330452
dg,kne,exo,neg,4,-0.0441054950249107
dg,kne,exo,neg,5,-0.0680323778377736
dg,kne,exo,neg,6,-0.218827302293742
dg,kne,exo,neg,7,-0.0350001634591643
dg,kne,exo,neg,8,-0.0673242637148017
dg,kne,exo,neg,9,-0.0359109448926414
dg,kne,exo,neg,10,-0.0743809915900997
dg,kne,exo,neg,11,-0.0490769555326551
dg,kne,exo,neg,12,-0.0391069487120737
dg,kne,exo,neg,13,-0.0360714512164978
dg,kne,exo,neg,14,-0.0367423292687711
dg,kne,exo,pos,1,0.0757564692899133
dg,kne,exo,pos,2,0.0229879383353845
dg,kne,exo,pos,3,0.0460823312627547
dg,kne,exo,pos,4,0.0335134263561272
dg,kne,exo,pos,5,0.0637295838609776
dg,kne,exo,pos,6,0.177406875635771
dg,kne,exo,pos,7,0.0335727030794848
dg,kne,exo,pos,8,0.0399889469639782
dg,kne,exo,pos,9,0.0407173153944314
dg,kne,exo,pos,10,0.084827075671295
dg,kne,exo,pos,11,0.054124551030862
dg,kne,exo,pos,12,0.041467315681717
dg,kne,exo,pos,13,0.0326687403927174
dg,kne,exo,pos,14,0.0326556833187009
dg,hip,exo,neg,1,-0.0135440088034198
dg,hip,exo,neg,2,-0.0487947648884181
dg,hip,exo,neg,3,-0.0463996466785444
dg,hip,exo,neg,4,-0.0529148503590156
dg,hip,exo,neg,5,-0.0289933478103622
dg,hip,exo,neg,6,-0.0336429873645744
dg,hip,exo,neg,7,-0.0554825245019268
dg,hip,exo,neg,8,-0.0820389407522538
dg,hip,exo,neg,9,-0.0368493155795423
dg,hip,exo,neg,10,-0.0248261462924454
dg,hip,exo,neg,11,-0.0620660979629439
dg,hip,exo,neg,12,-0.0591259295778239
dg,hip,exo,neg,13,-0.064314359360758
dg,hip,exo,neg,14,-0.0531109204132329
dg,hip,exo,pos,1,0.00614959088323468
dg,hip,exo,pos,2,0.0360501880538376
dg,hip,exo,pos,3,0.0354256818360282
dg,hip,exo,pos,4,0.0192700741839979
dg,hip,exo,pos,5,0.0292007323655793
dg,hip,exo,pos,6,0.0359442466322114
dg,hip,exo,pos,7,0.059425620636081
dg,hip,exo,pos,8,0.0317611492731992
dg,hip,exo,pos,9,0.0286674026797033
dg,hip,exo,pos,10,0.0261706816073617
dg,hip,exo,pos,11,0.0582598786636749
dg,hip,exo,pos,12,0.0293513937195873
dg,hip,exo,pos,13,0.0398009520243196
dg,hip,exo,pos,14,0.0271884649170234
dg,ank,bio,neg,1,-0.496219049348976
dg,ank,bio,neg,2,-0.301842599230654
dg,ank,bio,neg,3,-0.555305862065518
dg,ank,bio,neg,4,-0.404627584359225
dg,ank,bio,neg,5,-0.271908145178767
dg,ank,bio,neg,6,-0.193335434093195
dg,ank,bio,neg,7,-0.583387565963409
dg,ank,bio,neg,8,-0.316677714533666
dg,ank,bio,neg,9,-0.572167391724446
dg,ank,bio,neg,10,-0.347248240867082
dg,ank,bio,neg,11,-0.369405493140221
dg,ank,bio,neg,12,-0.470053903320256
dg,ank,bio,neg,13,-0.243369340020068
dg,ank,bio,neg,14,-0.390669823131141
dg,ank,bio,pos,1,0.833899040113796
dg,ank,bio,pos,2,0.617052334196427
dg,ank,bio,pos,3,1.01675104643359
dg,ank,bio,pos,4,0.773118292584139
dg,ank,bio,pos,5,0.54995403088191
dg,ank,bio,pos,6,0.628989896353553
dg,ank,bio,pos,7,0.906499637400403
dg,ank,bio,pos,8,0.739696236217723
dg,ank,bio,pos,9,1.01699159162886
dg,ank,bio,pos,10,0.661580290864496
dg,ank,bio,pos,11,0.639294427545632
dg,ank,bio,pos,12,0.795830491711112
dg,ank,bio,pos,13,0.500506896306487
dg,ank,bio,pos,14,0.839172631502151
dg,kne,bio,neg,1,-0.287420668611021
dg,kne,bio,neg,2,-0.145679942277424
dg,kne,bio,neg,3,-0.235630087667342
dg,kne,bio,neg,4,-0.183824512559701
dg,kne,bio,neg,5,-0.176987330812742
dg,kne,bio,neg,6,-0.336319940712522
dg,kne,bio,neg,7,-0.30870050411014
dg,kne,bio,neg,8,-0.147117938955917
dg,kne,bio,neg,9,-0.188947826843051
dg,kne,bio,neg,10,-0.226159115924555
dg,kne,bio,neg,11,-0.170462513232932
dg,kne,bio,neg,12,-0.248987206641366
dg,kne,bio,neg,13,-0.219783541582087
dg,kne,bio,neg,14,-0.156207514050252
dg,kne,bio,pos,1,0.518286366354335
dg,kne,bio,pos,2,0.236124344827498
dg,kne,bio,pos,3,0.352528268866467
dg,kne,bio,pos,4,0.359147719600621
dg,kne,bio,pos,5,0.23138253807145
dg,kne,bio,pos,6,0.490102370433948
dg,kne,bio,pos,7,0.373666077194845
dg,kne,bio,pos,8,0.247063638532863
dg,kne,bio,pos,9,0.367061243556878
dg,kne,bio,pos,10,0.325887976871694
dg,kne,bio,pos,11,0.318559331052444
dg,kne,bio,pos,12,0.560881761943593
dg,kne,bio,pos,13,0.327194087207317
dg,kne,bio,pos,14,0.290010455995798
dg,hip,bio,neg,1,-0.0757223644265623
dg,hip,bio,neg,2,-0.0440143649466336
dg,hip,bio,neg,3,-0.12668664544595
dg,hip,bio,neg,4,-0.0655393826172632
dg,hip,bio,neg,5,-0.00898151928285027
dg,hip,bio,neg,6,-0.0409497668528382
dg,hip,bio,neg,7,-0.0547596152926631
dg,hip,bio,neg,8,-0.110345928327126
dg,hip,bio,neg,9,-0.105818265665542
dg,hip,bio,neg,10,-0.0524513435084373
dg,hip,bio,neg,11,-0.0745364761746982
dg,hip,bio,neg,12,-0.16135725137942
dg,hip,bio,neg,13,-0.0639246748760343
dg,hip,bio,neg,14,-0.0839616236112574
dg,hip,bio,pos,1,0.0565181117448391
dg,hip,bio,pos,2,0.0229975158239112
dg,hip,bio,pos,3,0.0866245573499438
dg,hip,bio,pos,4,0.0842097047716379
dg,hip,bio,pos,5,0.0122071152333828
dg,hip,bio,pos,6,0.066211859421695
dg,hip,bio,pos,7,0.111167948802604
dg,hip,bio,pos,8,0.0861657032304827
dg,hip,bio,pos,9,0.055735509705675
dg,hip,bio,pos,10,0.0504044489387204
dg,hip,bio,pos,11,0.0349010120912948
dg,hip,bio,pos,12,0.0302024685969467
dg,hip,bio,pos,13,0.0170955281595097
dg,hip,bio,pos,14,0.0791546614731059
dg,ank,net,net,1,0.304932192419515
dg,ank,net,net,2,0.267668285790612
dg,ank,net,net,3,0.435026943683624
dg,ank,net,net,4,0.320425674319267
dg,ank,net,net,5,0.234651288565467
dg,ank,net,net,6,0.382853725377251
dg,ank,net,net,7,0.289994584286914
dg,ank,net,net,8,0.388862853541094
dg,ank,net,net,9,0.413383057012278
dg,ank,net,net,10,0.27756430997568
dg,ank,net,net,11,0.228560815839206
dg,ank,net,net,12,0.252134316107806
dg,ank,net,net,13,0.191565610906657
dg,ank,net,net,14,0.362973498070941
dg,kne,net,net,1,0.229002826818914
dg,kne,net,net,2,0.0883323116337552
dg,kne,net,net,3,0.119982739176714
dg,kne,net,net,4,0.164731138988453
dg,kne,net,net,5,0.050092414021492
dg,kne,net,net,6,0.112362003939993
dg,kne,net,net,7,0.0635381104315028
dg,kne,net,net,8,0.0726103833054795
dg,kne,net,net,9,0.18291978636647
dg,kne,net,net,10,0.110174943857333
dg,kne,net,net,11,0.153144415577545
dg,kne,net,net,12,0.314254925312365
